geography_type,geography_name,occupation,occupation_group,occ_abb,demand_entry,demand_ticker,demand_entry_sl,demand_entry_fe,demand_entry_he,reg_salary,reg_salary_label,lq,lq_label,fe_opportunity_score,he_opportunity_score,fe_opportunity_level,he_opportunity_level
UK,UK Total,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,136647,High,92665.42,26593.91,15461.45,28300,Medium,,,48,99,Medium,Very High
UK,UK Total,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,136647,High,92665.42,26593.91,15461.45,28300,Medium,,,48,99,Medium,Very High
UK,UK Total,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,136647,High,92665.42,26593.91,15461.45,28300,Medium,,,48,99,Medium,Very High
UK,UK Total,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,136647,High,92665.42,26593.91,15461.45,28300,Medium,,,48,99,Medium,Very High
UK,UK Total,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,136647,High,92665.42,26593.91,15461.45,28300,Medium,,,48,99,Medium,Very High
Nation,ENGLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,118479,High,80280.2,22882.86,13617.34,37300,High,1.03156134310444,Average,47,156,Medium,Very High
Nation,ENGLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,118479,High,80280.2,22882.86,13617.34,37300,High,1.03156134310444,Average,47,156,Medium,Very High
Nation,ENGLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,118479,High,80280.2,22882.86,13617.34,37300,High,1.03156134310444,Average,47,156,Medium,Very High
Nation,ENGLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,118479,High,80280.2,22882.86,13617.34,37300,High,1.03156134310444,Average,47,156,Medium,Very High
Nation,ENGLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,118479,High,80280.2,22882.86,13617.34,37300,High,1.03156134310444,Average,47,156,Medium,Very High
Nation,NORTHERN IRELAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3009,High,2068.21,694.45,223.72,25000,Medium,0.806028399047086,Low,52,,Medium,
Nation,NORTHERN IRELAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3009,High,2068.21,694.45,223.72,25000,Medium,0.806028399047086,Low,52,,Medium,
Nation,NORTHERN IRELAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3009,High,2068.21,694.45,223.72,25000,Medium,0.806028399047086,Low,52,,Medium,
Nation,NORTHERN IRELAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3009,High,2068.21,694.45,223.72,25000,Medium,0.806028399047086,Low,52,,Medium,
Nation,NORTHERN IRELAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3009,High,2068.21,694.45,223.72,25000,Medium,0.806028399047086,Low,52,,Medium,
Nation,SCOTLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,11322,High,7632.42,2258.63,1272.47,27200,Medium,0.953452426824905,Average,64,99,Medium,Very High
Nation,SCOTLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,11322,High,7632.42,2258.63,1272.47,27200,Medium,0.953452426824905,Average,64,99,Medium,Very High
Nation,SCOTLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,11322,High,7632.42,2258.63,1272.47,27200,Medium,0.953452426824905,Average,64,99,Medium,Very High
Nation,SCOTLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,11322,High,7632.42,2258.63,1272.47,27200,Medium,0.953452426824905,Average,64,99,Medium,Very High
Nation,SCOTLAND,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,11322,High,7632.42,2258.63,1272.47,27200,Medium,0.953452426824905,Average,64,99,Medium,Very High
Nation,WALES,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3837,High,2684.59,757.97,347.92,26500,Medium,0.620362969998855,Very Low,39,,Medium,
Nation,WALES,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3837,High,2684.59,757.97,347.92,26500,Medium,0.620362969998855,Very Low,39,,Medium,
Nation,WALES,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3837,High,2684.59,757.97,347.92,26500,Medium,0.620362969998855,Very Low,39,,Medium,
Nation,WALES,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3837,High,2684.59,757.97,347.92,26500,Medium,0.620362969998855,Very Low,39,,Medium,
Nation,WALES,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,3837,High,2684.59,757.97,347.92,26500,Medium,0.620362969998855,Very Low,39,,Medium,
Region,EAST MIDLANDS,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,8405,High,5787.49,1649.56,856.68,25100,Medium,0.847661457343306,Average,48,99,Medium,Very High
Region,EAST MIDLANDS,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,8405,High,5787.49,1649.56,856.68,25100,Medium,0.847661457343306,Average,48,99,Medium,Very High
Region,EAST MIDLANDS,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,8405,High,5787.49,1649.56,856.68,25100,Medium,0.847661457343306,Average,48,99,Medium,Very High
